mz	time	mz.min	mz.max	p_0hr_01_1	p_0hr_01_3	p_0hr_01_5	p_0hr_02_1	p_0hr_02_3	p_0hr_02_5	p_0hr_03_1	p_0hr_03_3	p_0hr_03_5	mock_6hr_01_1	mock_6hr_01_3	mock_6hr_01_5	mock_6hr_02_1	mock_6hr_02_3	mock_6hr_02_5	mock_6hr_03_1	mock_6hr_03_3	mock_6hr_03_5	yf_6hr_01_1	yf_6hr_01_3	yf_6hr_01_5	yf_6hr_02_1	yf_6hr_02_3	yf_6hr_02_5	yf_6hr_03_1	yf_6hr_03_3	yf_6hr_03_5
787.257	39.09937	787.2207	787.2875	19.1657	18.2555	18.7537	18.5956	18.9287	15.616	15.1453	15.493	13.7431	14.8948	16.2686	14.3939	15.0414	9.9658	15.1652	15.4888	14.5377	13.8228	14.0525	13.7814	14.408	14.5015	9.9658	14.604	12.7667	12.9094	15.3242
787.3295	42.15017	787.2958	787.3709	19.0891	18.092	18.9797	17.6277	18.6957	18.1502	16.7063	16.7674	16.8257	17.8673	17.3189	17.1722	16.4484	15.6382	16.2051	17.3859	17.0068	17.0224	17.0372	17.2044	17.3358	17.317	17.7905	17.2084	17.1239	17.3032	17.1695
787.4045	43.89776	787.3793	787.4127	19.1684	18.5646	18.8225	19.4886	19.1433	18.0095	17.9413	17.9007	17.7244	17.9245	18.0902	18.3565	18.0313	18.1626	17.8194	17.7871	18.0615	17.998	18.1459	18.393	18.3282	18.253	18.307	18.2521	18.2263	18.458	18.2911
787.5034	39.66822	787.4461	787.5546	19.8413	18.9462	19.3831	19.372	18.9566	18.5555	11.3315	14.5904	16.0325	15.6009	15.2249	14.6871	12.3183	9.9658	13.4141	12.8492	13.9452	15.8451	12.9422	14.7141	14.4717	13.0174	14.7143	13.8489	13.9237	9.9658	13.4581
787.5933	39.41769	787.5713	787.6131	16.2185	16.9236	19.0451	16.1307	15.9417	18.1125	9.9658	12.8516	12.2951	14.4578	13.7441	15.2816	11.521	12.2657	13.8321	15.0043	9.9658	14.0057	15.2131	12.9046	9.9658	13.6957	9.9658	14.0252	15.336	12.5061	14.3091
787.6669	39.62712	787.6214	787.7133	18.6408	17.9536	18.2328	19.0695	18.3881	19.0458	13.4573	12.4348	12.1399	14.8604	13.7645	13.9261	13.1007	11.8976	15.4607	15.3117	12.5241	15.0282	15.5781	14.3488	12.8353	13.7142	16.2445	13.4827	14.479	13.368	15.1409
787.7379	39.64887	787.7217	787.7551	18.2516	17.1933	18.4003	14.8038	16.427	17.6303	13.3409	13.0286	14.5451	14.1207	13.4773	15.6277	14.8014	11.8686	14.8048	15.7003	15.0037	13.1732	12.1903	14.8485	13.4715	14.7631	15.3532	15.1208	13.8848	9.9658	13.8168
787.8227	42.89979	787.7634	787.8637	19.65	15.5891	19.0515	19.5588	18.9697	18.4115	17.1256	17.9176	16.9591	18.8336	18.8419	19.0131	17.2307	18.3495	18.0968	18.527	18.3165	18.5574	17.3632	18.9076	18.8519	18.8127	18.7673	18.8054	18.4356	18.406	17.4049
787.9106	41.63905	787.8721	787.9598	19.4553	18.4272	19.2608	19.2739	18.5236	18.9899	17.0392	16.6595	16.4294	17.1145	16.627	17.0133	17.1859	16.3738	16.175	16.6269	16.8743	16.8235	16.996	16.6685	17.0364	17.0299	17.0336	16.6448	16.832	16.7189	17.0627
788.0061	39.41499	787.9723	788.0476	18.6574	15.9673	19.518	18.0263	18.1691	18.7938	9.9658	14.6832	13.1658	16.561	16.3971	13.8375	13.6431	12.1285	15.4153	15.7298	13.9336	15.6578	14.3669	14.5795	16.0759	14.9951	13.9157	14.8513	13.4472	15.4575	9.9658
