vax05_pos_metabo_feature	ZV1-01-d0	ZV1-04-d0	ZV1-05-d0	ZV1-06-d0	ZV1-08-d0	ZV1-09-d0	ZV1-10-d0	ZV1-11-d0	ZV1-12-d0	ZV1-13-d0	ZV1-14-d0	ZV1-15-d0	ZV1-16-d0	ZV1-17-d0	ZV1-18-d0	ZV1-19-d0	ZV1-20-d0	ZV1-21-d0	ZV1-22-d0	ZV1-25-d0	ZV1-26-d0	ZV1-27-d0	ZV1-29-d0	ZV1-31-d0	ZV1-32-d0	ZV1-33-d0	ZV1-34-d0	ZV1-35-d0	ZV1-36-d0	ZV1-37-d0	ZV1-38-d0	ZV1-39-d0	ZV1-42-d0	ZV1-43-d0	ZV1-44-d0	ZV2-01-d0	ZV2-02-d0	ZV2-03-d0	ZV2-04-d0	ZV2-05-d0	ZV2-06-d0	ZV2-07-d0	ZV2-08-d0	ZV2-09-d0	ZV2-10-d0	ZV2-11-d0	ZV2-12-d0	ZV2-14-d0	ZV2-15-d0	ZV2-16-d0	ZV2-17-d0	ZV2-19-d0	ZV2-20-d0	ZV2-21-d0	ZV2-22-d0	ZV2-23-d0	ZV2-24-d0	ZV2-25-d0	ZV2-26-d0	ZV2-27-d0	ZV2-28-d0	ZV2-30-d0	ZV2-31-d0	ZV2-32-d0	ZV2-33-d0	ZV2-34-d0	ZV2-35-d0	ZV2-36-d0	ZV2-38-d0	ZV2-39-d0
row1314_284.6453_42	20.121	22.51	21.429000000000002	22.195999999999998	20.843000000000004	22.053	22.065	21.508000000000003	23.298000000000002	22.127	21.712	22.761	21.958000000000002	21.823	21.695999999999998	22.401	22.413	21.55	21.845	21.531	21.715999999999998	22.184	21.973000000000003	23.035	22.087	21.893	22.035999999999998	22.049	21.897	22.249000000000002	22.381999999999998	21.296999999999997	21.945	22.453000000000003	21.203000000000003	21.14	22.371	21.258000000000003	21.272	21.557	21.973000000000003	21.962	21.896	22.802	22.066999999999997	21.831	21.594	22.518	21.555	21.605	22.188000000000002	21.372	21.206	21.989	21.680999999999997	21.987	21.916999999999998	21.109	20.936	21.173000000000002	21.654	21.217	21.224	21.183000000000003	20.781999999999996	20.97	20.941	20.736	21.009	19.968
row1315_284.9087_77	28.798000000000002	27.258000000000003	25.291999999999998	25.73	27.87	27.59	27.991999999999997	28.068	25.75	28.684	27.947	26.848000000000003	26.361	25.984	25.705	28.365	26.939	27.162	28.401	25.511	28.357	28.531	27.94	28.096999999999998	27.781	25.596	28.26	23.846	27.058000000000003	26.636999999999997	27.271	27.191999999999997	28.318	27.924	26.178	28.113000000000003	28.166	28.147	28.378	28.09	27.909000000000002	27.967	27.703000000000003	27.967	27.886999999999997	27.822	28.029	28.13	27.719	27.682	27.55	25.236	24.869	27.814	27.88	27.616	27.766	27.646	27.275	27.678	27.719	27.764	27.644000000000002	27.463	27.62	27.392	27.264	27.375	27.662	27.615
row1316_285.1311_409	25.133000000000003	25.426	24.03	24.37	24.746	24.846999999999998	24.991	25.586	25.096	24.331999999999997	25.511	25.604	25.44	25.311	23.95	23.339000000000002	25.747	24.855	22.615	25.259	23.788	24.264	24.019000000000002	24.733	24.941	24.476999999999997	24.462	24.250999999999998	24.348000000000003	24.748	24.430999999999997	24.721999999999998	23.772	23.886999999999997	24.04	24.086	23.789	24.664	24.095	24.066999999999997	23.323	23.801	23.22	24.314	24.555999999999997	22.828000000000003	22.881999999999998	24.081999999999997	24.215999999999998	24.256999999999998	23.029	24.057	23.853	23.728	24.369	24.223000000000003	23.813000000000002	24.226999999999997	24.619	24.625999999999998	23.294	25.023000000000003	24.638	23.892	24.664	23.773000000000003	24.031	23.526999999999997	24.018	24.908
row1317_285.168_67	25.543000000000003	24.655	25.06	24.951999999999998	25.66	25.96	26.107	25.182	23.969	26.435	25.83	24.994	24.219	25.596999999999998	26.151999999999997	26.252	25.971999999999998	25.930999999999997	25.836	25.592	26.335	26.045	26.046	25.554000000000002	25.879	24.566999999999997	26.339000000000002	26.267	25.381999999999998	25.45	25.139	25.665	26.123	25.787	25.819000000000003	26.820999999999998	26.706999999999997	26.57	25.99	26.219	26.724	26.449	25.904	25.480999999999998	26.024	25.491999999999997	26.118000000000002	26.168000000000003	25.975	25.854	25.289	26.046999999999997	25.948	26.226999999999997	26.364	26.01	26.057	25.859	25.044	25.915	25.935	26.221999999999998	26.111	25.534000000000002	25.455	24.628	25.435	25.555	25.569000000000003	25.291
row1318_285.1699_517	24.668000000000003	24.641	24.572	24.165	24.464000000000002	24.416999999999998	24.271	24.4	24.397	24.289	24.372	24.401999999999997	24.36	24.377	24.331	24.397	24.264	24.169	21.598000000000003	24.307	21.171	21.486	21.9	21.605999999999998	20.355999999999998	21.523000000000003	22.039	20.993000000000002	20.974	22.701999999999998	21.263	21.573	21.453000000000003	20.93	21.989	21.682	21.991999999999997	21.024	22.116999999999997	21.844	22.294	23.604	20.537	21.938000000000002	21.763	22.426	21.660999999999998	21.853	22.592	21.25	22.125999999999998	21.291999999999998	22.302	21.974	21.488000000000003	22.86	22.101999999999997	21.838	22.374000000000002	21.345	22.195	22.165	22.002	22.089000000000002	22.092	20.387999999999998	21.74	20.877	21.171	21.526999999999997
row1319_286.1386_81	26.627	27.031999999999996	27.043000000000003	27.038	26.955	25.487	28.426	26.112	26.796	25.432	25.203000000000003	26.151	26.006	26.271	25.328000000000003	26.998	27.668000000000003	27.28	24.958000000000002	25.545	27.218000000000004	29.505	27.099	0.0	26.941999999999997	26.566	29.035	28.56	24.51	26.776999999999997	28.068	25.803	27.445999999999998	28.11	27.22	25.511999999999997	27.489	25.531	25.704	27.719	27.61	26.872	25.713	28.733	24.459	28.105999999999998	25.419	25.848000000000003	25.459	28.058000000000003	25.201	26.238000000000003	25.767	27.833000000000002	25.666999999999998	26.116	25.756	25.859	26.311	24.699	29.391	25.476999999999997	26.634	26.049	26.128	25.993000000000002	25.586	28.468000000000004	27.158	24.368000000000002
row1320_286.2015_73	25.320999999999998	25.176	26.859	24.015	27.016	24.874000000000002	25.839000000000002	25.519000000000002	25.385	26.276999999999997	25.454	25.633000000000003	24.057	25.761999999999997	25.456999999999997	26.186999999999998	25.938000000000002	25.679000000000002	26.035	26.484	25.73	24.521	25.925	25.424	25.691999999999997	26.688000000000002	26.64	24.76	25.269000000000002	26.244	25.849	24.289	26.003	24.721	25.533	25.709	24.819000000000003	25.087	25.194000000000003	25.07	25.479	25.331999999999997	24.910999999999998	24.993000000000002	25.342	25.135	25.505	26.033	25.535999999999998	25.886999999999997	25.206999999999997	25.835	24.413	25.803	26.128	24.662	25.25	26.374000000000002	25.114	26.794	25.793000000000003	26.679000000000002	26.296999999999997	24.840999999999998	24.805999999999997	23.433000000000003	24.483	25.189	24.638	24.775
row1321_286.2015_463	25.755	25.631999999999998	25.294	25.340999999999998	25.06	24.774	25.482	24.276	23.553	25.454	24.108	23.938000000000002	24.703000000000003	25.239	23.908	25.335	23.928	24.726	21.566999999999997	25.21	22.061	21.633000000000003	23.316	22.063000000000002	19.16	22.258000000000003	21.103	21.070999999999998	20.735	22.319000000000003	22.348000000000003	20.629	22.741	21.669	21.419	0.0	21.340999999999998	21.721	20.636999999999997	21.484	21.799	20.843000000000004	21.717	21.116	21.932	21.69	21.732	21.397	21.250999999999998	21.305999999999997	21.826	22.441	21.985	22.198	21.824	21.756	21.683000000000003	22.081999999999997	21.118000000000002	21.296999999999997	21.266	21.432	20.713	22.718000000000004	21.48	20.096	21.589000000000002	21.799	21.936	21.235
row1322_286.6251_531	22.912	21.225	23.089000000000002	22.307	23.469	22.072	22.568	22.418000000000003	22.278000000000002	23.234	22.849	23.02	22.372	22.557	24.193	22.53	23.43	24.296999999999997	23.483	22.524	24.506	23.057	24.191999999999997	23.338	22.799	22.443	23.250999999999998	23.578000000000003	22.864	22.403000000000002	22.116999999999997	22.213	23.043000000000003	18.427	21.741999999999997	23.141	24.294	23.541	23.116999999999997	23.993000000000002	23.576	23.421	20.708000000000002	23.364	23.504	23.883000000000003	23.256999999999998	22.796	23.57	21.671	23.041	23.463	23.485	24.296999999999997	22.695999999999998	23.653000000000002	21.865	23.335	22.816999999999997	21.569000000000003	24.03	22.471	22.659000000000002	22.688000000000002	23.121	24.15	23.381999999999998	23.781	23.46	23.545
row1323_286.6351_571	24.401999999999997	23.87	24.438000000000002	23.185	24.058000000000003	23.84	24.171999999999997	22.675	23.546999999999997	24.541	23.664	24.039	23.179000000000002	23.943	24.177	23.834	24.566	24.621	23.921	23.594	24.081999999999997	24.044	24.723000000000003	24.083000000000002	23.788	23.656	24.253	24.496	23.938000000000002	23.451	23.875999999999998	23.803	23.635	22.518	23.13	23.434	24.089000000000002	23.772	23.765	24.333000000000002	24.024	24.259	23.604	24.296	23.728	24.416999999999998	23.557	23.316	24.084	23.416	24.361	23.285	23.99	24.558000000000003	23.41	24.146	23.619	23.426	22.826999999999998	23.235	24.022	22.576999999999998	23.22	23.518	23.061999999999998	23.767	23.564	23.401999999999997	23.394000000000002	23.688000000000002
